we;work_to_unite;the_the_working_class_in_other_countries
we;believe_in;a_society
the_economy;be_under;democratic_control
we;reach;such_a_society
solidarity;let;the_capitalist_split
fey;tell;ria_ria_novosti
_ukraine;prepare_for;early_presidential_elections
a_political_crisis;lead_to;violence
nationality;gender_as;possible_he_andreas_fey_of_denmark_
the_may_of_solidarity;start_on;the_fourth_anniversary_of_the_spanish_15m_movement
the_local_political_system;see_up_to;#_#_supporters
action;take_place_in;brussels
brussels;host;the_european_business_summit
the_rest;circle_around;the_campaigns
voters;elect;#_members_of_the_european_parliament_meps
the_eu_'s_programs_of_austerity_and_privatization;exploit;people
the_big_companies;secure;more_profit
hopefully_people;notice;our
presence;join;us
we;convince;people_people_all_over_europe
you;guarantee_job_with;a_salary
the_may_activities;stop_after;the_may_22-25_european_parliament_elections
russia;urge;the_relevant_bodies_of_the_united_nations
the_un_human_rights_council;condemn;systematic_systematic_violations_of_journalists_rights_in_ukraine
rights;continue_in;ukraine_ukraine
a_member_crew_of_the_russian_tv_center_channel;deport_from;ukraine_ukraine
chief_executive_officer_rex_tillerson;say_at;the_company
they;have;_very_good_partners_for_us
exxon_ukraine_crisis_ceo_energy_giant_exxon_mobil_corp_s_drilling_operations_in_russia_as_well_as_its_alliance_with_russian_oil_company_rosneft_;support_sanction_against;russian_individuals
_ukraine_crisis_ceo_energy_giant_exxon_mobil_corp_s_drilling_operations_in_russia_as_well_as_its_alliance_with_russian_oil_company_rosneft_;name_in;the_the_sanctions_against_russian_individuals_including_rosneft_head_igor_sechin
russia;take_upon;the_collapse_of_the_ukrainian_government
exxon_ukraine_crisis_ceo_energy_giant_exxon_mobil_corp_s_drilling_operations_in_russia_as_well_as_its_alliance_with_russian_oil_company_rosneft_;make;its_ukraine_crisis_ceo_energy_giant_exxon_mobil_corp_s_drilling_operations_in_russia_as_well_as_its_alliance_with_russian_oil_company_rosneft_
we;have;conversations
views;hear_at;the_highest_levels
the_highest_levels;tell_reporter_at;the_meeting
the_exxon_ceo;say;the_the_sanctions_against_russian_individuals_including_rosneft_head_igor_sechin
company;s_relationship_with;rosneft
representatives_of_exxon_ukraine_crisis_ceo_energy_giant_exxon_mobil_corp_s_drilling_operations_in_russia_as_well_as_its_alliance_with_russian_oil_company_rosneft_;meet_with;sechin
some_western_oil_companies;leave;russia_the_action_russia
bp;thrive_through;deep_connections
._exxon_ukraine_crisis_ceo_energy_giant_exxon_mobil_corp_s_drilling_operations_in_russia_as_well_as_its_alliance_with_russian_oil_company_rosneft_;have_presence_in;russia_the_action_russia
a_russian_island;come_to;#_offshore_acres
rosneft;agree_to_continue;work
the_far_east_lng;liquefy;natural_gas_project
the_kara_and_black_seas;be;#_#_its_net_holdings_in_rosneft_joint-venture_agreements_for_the_kara_and_black_seas_acres
italian_government;ignore;us
they;focus_on;the_european_election
they;recognize_validity_of;the_referendum
the_validity_of_the_referendum;be_same_as;the_eu_the_european_union
the_eu_the_european_union;do_in;ukraine
paolo_bernardini;say;thursday
most_of_the_people;vote_to_create;independent_republics
eu_the_european_union;ignore;that_and
us_united_states;say;there
their_the_people_bid;organize_event_in;support
venetian_entrepreneurs;gather_in;campo_san_martino
the_participation_of_entrepreneurs;signify;the_growing_scale_of_the_movement
nicola_gardin;say_force_in;veneto
entrepreneurs;ask_for;independence
independence;tell;ria_ria_novosti
we;feed_up_with;the_italian_state
the_situation;turn_into;a_tragedy_people
a_tragedy_people;kill;themselves
a_scale_event;hold_on;june_#
independence_supporters;assess_number_of;the_venetian_venetian
companies;pay_tax_to;the_italian_the_italian_state_state
you;ignore_to;a_certain_degree
you;have;people
italian_state;be_aware_of;us
us;take;some_actions
they;ignore;us
us;say;they
they;think_about;formal_federalism
it;be;a_chat
it;have_nothing_to_do_with;reality
reality;tell;ria_novosti_ria_novosti
independence_activists;launch;an_online_vote
